Hs_m,current_mps,peak_bending_MPa
0.5,0.5,16.24135586307231
0.5,0.8,41.27728127287256
0.5,1.1,75.41681268038643
0.5,1.35,109.56930453765327
0.5,1.62,143.1837269607406
1.5,0.5,19.97237172303775
1.5,0.8,47.11928092034571
1.5,1.1,85.38167165099105
1.5,1.35,122.08583374955896
1.5,1.62,160.46580386536516
2.5,0.5,22.036724489294272
2.5,0.8,56.08464515738979
2.5,1.1,98.01603627494079
2.5,1.35,132.90030423668196
2.5,1.62,175.0897453079407
3.5,0.5,25.226154431429613
3.5,0.8,63.52936676542375
3.5,1.1,110.3156284701461
3.5,1.35,154.63822845464293
3.5,1.62,192.32670299680902
4.5,0.5,28.86585952349485
4.5,0.8,69.87492749339191
4.5,1.1,126.1909421618824
4.5,1.35,167.95128477376602
4.5,1.62,211.04749015653098
5.5,0.5,33.42995076024636
5.5,0.8,79.47726487657907
5.5,1.1,135.48234457113836
5.5,1.35,180.51090688841953
5.5,1.62,224.27984901881766
6.8,0.5,40.35500013792033
6.8,0.8,93.55036736323763
6.8,1.1,157.3921814072442
6.8,1.35,207.05008513419529
6.8,1.62,240.5483114756756
